food,Carbohydrates,Fat,Protein
vegetarian fillets,7.7,15.3,19.6
biscuit with egg sausage,34.1,33.6,18.0
chicken chow mein,50.1,16.9,40.8
fruit burrito,35.0,9.5,2.5
arroz con leche,63.0,9.3,8.1
caramel custard flan,69.7,12.3,13.9
gelatin dessert,38.3,0.0,3.3
chocolate milk dessert,51.6,1.4,5.9
chocolate mousse,24.1,24.0,6.2
dulce de leche,10.5,1.4,1.3
apple crisp,87.0,9.7,4.9
spinach spaghetti cooked,36.6,0.9,6.4
corn pasta cooked,39.1,1.0,3.7
spaghetti with meat sauce,43.1,2.9,14.3
pasta with meatballs in tomato sauce,28.3,13.0,10.6
cheese tortellini,50.8,7.8,14.6
pasta with sliced franks in tomato sauce,32.0,6.0,11.0
lasagna,18.9,6.1,9.0
macaroni cheese,43.7,9.4,12.6
vegetable lasagna,32.2,13.7,15.6
spinach egg noodles cooked,38.8,2.5,8.1
cheese lasagna,33.6,13.0,15.9
pasta with tomato sauce,35.1,1.8,5.6
spinach pasta cooked,7.1,0.3,1.4
vegetable chicken soup,21.1,4.8,12.3
bean ham soup,33.5,2.5,10.3
cream of chicken soup,18.0,14.5,6.0
tomato soup canned,22.6,3.3,6.3
egg drop soup,10.3,1.5,2.8
scotch broth,23.0,6.4,12.1
cream of onion soup,31.7,12.8,6.7
chicken broth dry,1.1,0.2,0.7
vegetable soup with beef broth,26.3,3.8,6.0
chili with beans canned,30.5,14.1,14.6
beef noodle soup,17.9,6.2,9.6
consomme dry,1.9,0.2,2.2
chicken mushroom soup,15.1,6.1,2.0
beef vegetable soup,15.4,2.9,8.0
black bean soup,39.6,3.4,12.4
split pea soup with ham bacon,28.6,3.1,11.6
cream of mushroom soup,17.1,13.4,3.4
green pea soup,51.7,5.7,16.7
chicken broth soup,1.9,2.6,11.1
chicken mushroom chowder soup,38.3,23.7,16.2
chicken dumplings soup,14.7,13.4,13.6
chicken vegetable soup,17.0,5.6,7.1
turkey vegetable soup,8.6,3.0,3.1
wonton soup,11.7,0.6,4.6
beef stock,2.9,0.2,4.7
mushroom barley soup,29.3,5.5,4.6
gazpacho soup,6.6,0.4,10.7
beef mushroom soup,15.9,7.3,14.0
chicken rice soup,13.0,3.2,12.3
pepperpot soup,9.1,4.5,6.2
vegetable soup,24.6,4.0,4.3
chili beef soup,49.6,6.7,13.4
chicken soup,16.9,6.5,12.4
bean with frankfurters soup,22.0,7.0,10.0
pea soup,25.6,2.8,8.3
turkey soup,14.1,4.4,10.2
stockpot soup,23.1,7.8,9.8
hot sour soup,10.1,2.8,6.0
cheese soup,28.0,9.7,2.0
cream of potato soup,32.2,4.7,3.8
bean with bacon soup,16.4,2.1,5.5
fish stock,0.0,1.9,5.3
split pea soup with ham,56.2,8.9,20.7
beef broth soup,0.01,0.5,2.7
lentil soup with ham,20.2,2.8,9.3
tomato soup,22.5,0.7,2.2
fish broth,1.0,1.5,4.9
chili without beans canned,14.6,17.0,18.1
minestrone soup,22.6,5.0,8.6
clam chowder soup,24.5,4.4,4.4
tomato vegetable soup,9.9,0.8,1.9
cream of rice coup,28.1,0.2,2.2
cream of celery soup,17.7,11.2,3.3
chicken gravy,12.9,13.6,4.6
tomato rice soup,44.1,5.5,4.2
vegetable beef soup,9.6,2.0,18.1
tomato beef noodle soup,42.3,8.6,8.9
oyster stew soup,8.2,7.7,4.2
ramen noodle soup dry,53.9,13.3,8.9
chicken noodle soup,18.4,4.7,7.2
chicken bouillon dry,0.7,0.6,0.7
cream of asparagus soup,21.5,8.2,4.6
turkey noodle soup,17.3,4.0,7.8
cream of shrimp soup,16.5,10.4,5.6
bean with pork soup,44.1,11.5,15.3
chicken broth,1.0,0.5,1.0
beef broth powder,0.6,0.3,0.6
split pea soup,29.9,2.3,9.7
escarole soup,4.0,4.0,3.4
chicken stock,8.5,2.9,6.0
tomato bisque soup,47.7,5.0,4.5
shark fin soup,8.2,4.3,6.9
onion soup,16.4,3.5,7.5
chicken gumbo soup,16.8,2.9,5.3
crab soup,12.5,0.8,10.4
tripe soup,8.1,5.2,17.2
little india little lunch,2.0,10.6,0.0
original chicken sandwich chick fil a,0.0,5.1,0.0
sausage mcmuffin mcdonalds,28.2,24.2,14.6
sausage mcgriddles mcdonalds,42.2,24.0,11.4
crispy chicken drumstick kentucky fried chicken,0.0,3.0,10.6
chicken crispy drumsticks kentucky fried chicken,4.5,10.1,11.8
biscuit kentucky fried chicken,22.1,9.1,3.8
english muffin mcdonalds,2.9,2.3,5.7
french fries mcdonalds,49.8,18.1,4.0
hotdog,28.5,23.0,16.4
french fries burger king,28.6,9.2,2.4
original taco with beef cheese lettuce taco bell,13.7,8.8,6.1
hotdog with chili,31.3,13.4,13.5
chicken crispy wings kentucky fried chicken,5.1,10.1,9.2
egg white delight mcdonalds,0.0,16.0,0.0
french toast sticks burger king,8.7,3.7,1.3
mcchicken mcdonalds,36.6,17.3,13.7
nachos supreme taco bell,45.0,26.6,14.8
crispy chicken wing kentucky fried chicken,1.3,5.3,12.6
chicken strips burger king,7.4,5.5,6.6
crispy chicken breast kentucky fried chicken,0.4,6.7,38.2
sausage biscuit mcdonalds,31.8,29.7,11.3
sausage burrito mcdonalds,24.2,17.1,13.0
onion rings fried,2.8,1.6,0.3
onion rings burger king,39.7,23.0,3.5
turkey patty fried,4.4,5.0,3.9
hotcakes with syrup mcdonalds,101.8,17.8,9.0
crispy chicken thigh kentucky fried chicken,0.0,9.1,20.4
corn dog,21.0,9.4,6.7
chicken box mcdonalds,5.5,4.0,0.2
potato wedges kentucky fried chicken,45.0,19.8,5.4
scrambled eggs mcdonalds,0.9,7.5,7.7
egg mcmuffin mcdonalds,27.3,12.2,17.2
nachos taco bell,36.0,21.9,5.1
biscuit large mcdonalds,39.4,14.4,5.5
crispy chicken strips kentucky fried chicken,6.4,7.2,9.5
hotcakes mcdonalds,19.0,2.9,3.0
chicken crispy breast kentucky fried chicken,11.9,23.2,29.7
hotcakes sausage mcdonalds,102.4,34.9,15.5
chicken mcnuggets mcdonalds,2.4,3.2,2.5
chips chipotle,2.1,7.1,0.2
biscuit mcdonalds,33.3,12.2,4.7
rice bowl with chicken,6.4,0.4,1.6
spaghetti with meatballs,22.9,8.2,8.7
meat ravioli canned,36.0,8.9,8.9
cheese ravioli canned,33.0,3.5,6.0
premium crispy chicken ranch blt sandwich mcdonalds,59.8,22.9,35.3
steak sandwich,52.0,14.1,30.3
cheeseburger burger king,31.5,19.7,19.4
cheeseburger mcdonalds,33.1,14.0,15.4
double cheeseburger,41.0,36.9,37.0
double hamburger,51.4,58.6,52.1
premium grilled chicken classic sandwich mcdonalds,44.6,8.6,28.3
big n tasty with cheese mcdonalds,39.7,36.0,27.2
premium grilled chicken club sandwich mcdonalds,44.3,18.0,38.3
quarter pounder mcdonalds,37.9,19.8,24.1
premium crispy chicken classic sandwich mcdonalds,58.6,20.0,27.8
veggie burger,10.0,4.4,11.0
