food,Carbohydrates,Fat,Protein
chocolate cream pie,33.3,19.2,2.6
angel food cake,16.2,0.2,1.7
lemon meringue pie,49.7,16.4,4.8
danish pastry with cinnamon,46.9,16.7,4.8
cinnamon coffeecake,26.6,13.3,3.9
cheesecake,20.4,18.0,4.4
fruitcake,26.5,3.9,1.2
egg custard,31.0,12.9,14.2
mince pie,79.2,17.8,4.3
yellow cake with chocolate frosting,79.7,25.6,4.6
danish pastry with fruit,45.1,15.9,4.8
white cake with coconut frosting,70.8,11.5,4.9
danish pastry with cheese,28.7,24.6,5.8
graham cracker pie crust,117.7,45.4,9.3
blueberry pie,49.2,17.5,4.0
yellow cake with vanilla frosting,37.6,9.3,2.2
pie crust,10.9,8.0,1.5
chocolate cake with chocolate frosting,72.9,27.7,4.8
cheese coffeecake,33.7,11.6,5.3
vanilla cream pie,41.1,18.1,6.0
pineapple cake,58.1,13.9,4.0
peach pie,38.5,11.7,2.2
fruit coffeecake,25.8,5.1,2.6
pound cake,14.6,6.0,1.7
pound cake bread,28.2,9.6,3.9
white cake,42.3,9.2,4.0
coffeecake with chocolate frosting,48.4,9.7,4.5
popcorn cake,8.0,0.3,1.0
banana cream pie,390.2,161.3,52.2
baked apple pie mcdonalds,12.3,4.4,0.9
sponge cake,36.4,2.7,4.6
yellow cake,36.0,9.9,3.6
shortcake,13.7,4.0,1.7
cherry pie,69.3,22.0,5.0
dutch apple pie,61.0,15.8,3.0
chocolate cake,50.7,14.3,5.0
marshmallow,16.3,0.033,0.4
sugar apple,18.2,0.2,1.6
toffee,7.8,3.9,0.1
vanilla fudge with nuts,21.1,3.9,0.8
peanuts chocolate coated,2.0,1.3,0.5
caramel with nuts chocolate coated,8.5,2.9,1.3
gingerbread,36.4,12.1,2.9
rolo nestle,0.2,1.0,0.009
vanilla fudge,23.2,1.5,0.3
halavah,42.3,15.1,8.7
praline,23.2,10.1,1.3
fruit juice bar,15.6,0.089,0.9
peanut brittle,20.2,5.4,2.1
butterscotch,4.8,0.2,0.079
chocolate coffee beans,15.6,9.4,2.1
nougat with almonds,12.9,0.2,0.5
carob,14.1,7.8,2.0
peanut butter fudge,12.4,1.1,0.6
sugar coated almonds,2.4,0.6,0.4
chocolate coated marshmallow,19.0,4.7,1.1
raisins chocolate coated,68.4,14.8,4.1
chewing gum sugarless,1.9,0.013,0.0
chewing gum,2.9,0.032,0.0
chocolate syrup,25.4,0.4,0.8
chocolate fudge syrup,12.0,1.7,0.9
m ms milk chocolate mars,29.9,8.9,1.8
milk chocolate with almonds,21.9,14.1,3.7
chocolate fudge,13.0,1.8,0.4
milk chocolate with rice cereal,0.0,0.0,0.0
m ms peanut chocolate mars,10.9,4.7,1.7
dark chocolate,18.0,9.7,1.5
chocolate semisweet,107.4,50.4,7.1
after eight mints nestle,6.7,1.0,0.1
milk chocolate,4.2,2.1,0.5
white chocolate,17.8,9.6,1.8
chocolate,24.8,14.0,1.6
twix mars,18.8,7.2,1.4
kit kat nestle,7.6,3.3,0.7
snickers mars,35.1,13.6,4.3
milky way mars,41.3,10.0,2.3
clif bar,44.5,4.0,10.0
gum drops,4.4,0.042,0.0
skittles wild berry mars,56.3,2.6,0.1
skittles original mars,56.3,2.7,0.1
skittles tropical mars,56.3,2.7,0.1
fruit leather,12.0,0.4,0.029
taffy,13.7,0.5,0.087
eisbonbons mac iver,0.0,0.0,0.0
caramels,7.8,0.8,0.5
hard candy,5.9,0.067,0.0
jellybeans,1.0,0.043,0.0
jellies,14.7,0.069,0.005
wheat germ toasted,14.9,3.2,8.7
crispy brown rice,27.5,1.1,2.3
bran flakes asda,0.2,0.6,0.0
amaranth cooked,46.0,3.9,9.3
triticale,138.5,4.0,25.1
barley raw,9.3,0.1,1.2
bulgur dry,37.9,0.7,6.1
cottonseed kernels roasted,32.6,54.1,48.6
rice bran,58.6,24.6,15.8
chaptti roti indian bread,0.089,2.5,7.0
quinoa cooked,39.4,3.6,8.1
dar vida swiss original,0.5,3.1,0.0
teff cooked,50.0,1.6,9.8
couscous dry,134.0,1.1,22.1
weetabix weetabix,0.0,11.5,0.0
oat bran cooked,25.1,1.9,7.0
buckwheat cooked,33.5,1.0,5.7
millet puffed,16.8,0.7,2.7
oat bran raw,4.9,0.5,1.3
popcorn oil popped,5.0,4.8,0.8
kamut cooked,52.4,1.6,11.1
wheat bran,37.4,2.5,9.0
cheese popcorn,5.7,3.7,1.0
raisin bran crunch kelloggs,21.2,0.5,1.9
couscous cooked,36.5,0.3,6.0
multigrain cheerios general mills,1.0,0.005,0.038
bulgur cooked,33.8,0.4,5.6
popcorn air popped,6.2,0.4,1.0
teff raw,141.1,4.6,25.7
spelt cooked,51.3,1.6,10.7
millet raw,145.7,8.4,22.0
popcorn unpopped,20.9,1.2,3.1
whole wheat cooked,33.2,1.0,4.8
wheat sprouted,45.9,1.4,8.1
whole wheat dry,21.1,0.6,3.1
caramel popcorn,22.4,3.6,1.1
wheat puffed,9.6,0.1,1.8
roggenmischbrot sonnenblumenkerne aldi,0.0,3.1,0.0
wheat germ,16.1,3.0,7.2
microwave popcorn,49.8,26.3,7.3
millet cooked,41.2,1.7,6.1
kamut raw,130.9,4.1,27.3
wheat durum,136.6,4.7,26.3
sorghum,143.3,6.3,21.7
white wheat,145.7,3.3,21.7
rye,128.2,2.8,17.5
spelt raw,122.1,4.2,25.4
buckwheat raw,8.6,0.4,1.6
honey cereali general mills,3.0,2.0,0.0
barley cooked,44.3,0.7,3.5
oats,6.6,0.7,1.7
amaranth raw,6.5,0.7,1.4
semolina,121.6,1.8,21.2
quinoa dry,38.5,3.6,8.5
wheat shredded,36.2,1.0,5.2
cattail,1.0,0.0,0.2
peanut granola bar,15.0,5.7,2.4
vanilla bluberry bar kind,0.9,1.4,0.0
coconut granola bar,15.6,9.1,1.5
almond granola bar,14.9,6.1,1.8
chocolate chip granola bar,17.3,3.9,1.8
fruit granola bar,18.6,0.2,1.4
granola bar,13.5,4.2,2.1
peanut bar,19.0,13.5,6.2
milk cereal bar,18.0,2.7,1.6
almond rice bar,18.1,5.7,2.0
fruit nut squares,10.3,1.3,0.3
rice wheat cereal bar,16.0,2.0,2.0
crisped rice bar,20.4,3.8,1.4
brown rice raw,142.9,5.4,14.7
rice pilaf cooked,61.1,8.8,7.0
beef flavored rice raw,139.1,2.3,19.8
wild rice cooked,35.0,0.6,6.5
wild rice raw,119.8,1.7,23.6
congee with pork shrimp and squid plus egg,0.0,0.3,0.0
white rice pasta cooked,43.3,5.7,5.1
chicken flavored rice raw,127.3,2.2,17.9
instant white rice raw,78.2,0.9,7.4
rice crisps,24.1,0.4,1.8
parboiled white rice raw,149.6,1.9,13.9
instant white rice cooked,41.4,0.8,3.6
rice pilaf raw,155.7,2.8,21.3
rice cracker cake,23.0,1.2,2.0
parboiled white rice cooked,41.2,0.6,4.6
white rice steamed,44.7,0.4,4.2
brown rice cake,7.3,0.3,0.7
glutinous white rice raw,151.1,1.0,12.6
white rice pasta raw,122.8,4.0,15.3
glutinous white rice cooked,36.7,0.3,3.5
brown rice cooked,45.8,1.6,4.5
beef flavored rice cooked,54.4,7.9,7.0
white rice cooked,44.5,0.4,4.3
chicken flavored rice cooked,54.8,8.0,6.2
white rice raw,147.9,1.2,13.2
cheese imitation,1.1,36.2,28.3
cheshire cheese,1.4,8.7,6.6
monterey cheese,0.8,34.2,27.7
edam cheese,0.4,8.3,7.5
fontina cheese,1.7,33.6,27.6
monterey cheese low fat,0.8,24.4,31.9
colby cheese,2.9,36.3,26.8
american cheese,0.9,7.9,4.5
blue cheese,0.7,8.6,6.4
nectarine,15.8,0.5,1.6
kiwifruit gold,12.8,0.2,0.8
prickly pear raw,1.9,0.072,0.001
pineapple,11.8,0.1,0.5
rowan,54.5,4.6,5.2
muscadine grapes,0.8,0.056,0.014
heidelbeeren jutro,0.4,0.2,0.0
prunes stewed,83.2,0.7,3.4
tangerine,10.1,0.2,0.6
prunes,62.3,0.5,2.6
lemon peel,0.3,0.002,0.032
banana,34.3,0.5,1.6
raspberries,1.2,0.034,0.1
apricot,3.9,0.1,0.5
strawberry guava,1.0,0.008,0.01
kiwifruit green,10.1,0.4,0.8
figs,9.6,0.2,0.4
clementine,8.9,0.1,0.6
orange,21.6,0.2,1.7
bartlett pear,26.6,0.3,0.7
red white currants,15.5,0.2,1.6
blueberries,21.4,0.5,1.1
mulberries,1.5,0.049,0.2
java plum,0.5,0.029,0.034
prune puree,11.7,0.02,0.4
applesauce,27.5,0.2,0.4
blackberries raw,13.8,0.7,2.0
plum,7.5,0.2,0.5
american grapes,0.4,0.087,0.035
peach,14.3,0.4,1.4
honeydew melon,16.1,0.2,1.0
yellow plantain fried,68.9,12.7,2.4
rose hips,48.5,0.4,2.0
lemons,5.4,0.2,0.6
lime,7.1,0.1,0.5
pomegranate,26.4,1.6,2.4
gooseberries,15.3,0.9,1.3
asian pear,13.0,0.3,0.6
abiyuch,40.1,0.2,3.4
horned melon kiwano,15.8,2.6,3.7
fruit walnut salad mcdonalds,43.8,13.3,4.8
grapefruit,13.3,0.2,1.0
japanese persimmon,31.2,0.3,1.0
wild raspberries,18.0,0.4,1.5
pink lady apple,3.9,0.1,0.1
maraschino cherries,2.1,0.083,0.06
black currants,17.2,0.5,1.6
plantain cooked,48.0,0.3,1.2
crab apple,21.9,0.3,0.4
pom potes materne,0.2,0.2,0.0
apple,25.1,0.3,0.5
cantaloupe melon,14.4,0.3,1.5
prickly pear cooked,1.6,0.043,0.091
guava,7.9,0.5,1.4
strawberries,0.9,0.069,0.01
japanese persimmon dried,25.0,0.2,0.5
watermelon,21.6,0.4,1.7
elderberries,26.7,0.7,1.0
kumquat,3.0,0.2,0.4
orange peel,1.5,0.017,0.093
pokeberry shoots cooked,5.1,0.7,3.8
breadfruit,59.7,0.5,2.4
pear,27.1,0.2,0.6
sour cherries,12.5,0.3,1.0
plantain raw,57.1,0.6,2.3
blackberries frozen,23.7,0.6,1.8
cherries,1.3,0.056,0.068
plantain fried,2.6,0.6,0.023
carambola starfruit,5.7,0.3,0.9
chayote cooked,7.2,0.8,1.0
apple dippers mcdonalds,8.2,0.0,0.0
white grapefruit,19.8,0.2,1.6
cherimoya,41.6,1.6,3.7
melon balls,13.7,0.4,1.5
golden delicious apple,14.8,0.2,0.3
pokeberry shoots raw,5.9,0.6,4.2
cranberries,5.4,0.014,0.2
quince,14.1,0.012,0.4
chayote raw,6.0,0.2,1.1
orange with peel,24.6,0.5,2.1
chokecherries,51.8,2.6,4.7
mango,50.3,1.3,2.8
wild plum,35.3,0.3,0.7
jeijoa,37.0,1.0,1.7
groundcherries,15.7,1.0,2.7
pesca,0.0,0.1,0.0
persimmon,8.4,0.1,0.2
grapes,0.9,0.044,0.045
rambutan canned,44.7,0.4,1.4
figs canned,3.8,0.039,0.1
prunes canned,65.1,0.5,2.0
pineapples canned,7.4,0.05,0.2
prune plums canned,7.0,0.075,0.2
tangerines canned,23.8,0.1,1.5
fruit cocktail canned,28.1,0.053,1.1
sour cherries canned,48.6,0.3,1.9
mangosteen canned,35.1,1.1,0.8
apricot juice,30.1,0.07,1.5
strawberries canned,59.8,0.7,1.4
peach canned,28.9,0.094,1.6
fruit salad canned,32.5,0.008,1.3
gooseberries canned,47.3,0.5,1.6
grapefruit canned,22.3,0.2,1.4
pear canned,9.8,0.001,0.3
raspberries canned,59.8,0.3,2.1
papaya canned,21.8,0.2,0.001
grapes canned,25.2,0.3,1.2
apple dried,39.1,0.2,0.6
peach dried,50.8,0.6,3.0
plantain chips,18.1,8.4,0.6
golden raisins,131.2,0.8,5.6
raisins seeded,129.5,0.9,4.2
zante currants dried,106.7,0.4,5.9
pear dried,25.1,0.2,0.7
raisins,23.8,0.056,1.0
prune plums dried,81.5,0.5,2.7
cranberries dried,98.8,1.6,0.053
figs dried,5.4,0.008,0.3
longans dried,1.3,0.091,0.027
banana chips,16.5,9.5,0.7
lychee dried,1.8,0.003,0.01
apricot dried,4.4,0.015,0.2
longan,0.5,0.076,0.009
mamey sapote,56.2,0.8,2.5
waxgourd cooked,4.3,0.4,0.7
jackfruit,8.1,0.2,0.6
loquats,2.4,0.071,0.09
mammy apple mamey,105.8,4.2,4.2
nance,19.0,1.3,0.7
coconut whole coconut,0.0,71.5,0.0
prickly pear,9.9,0.5,0.8
lychee,1.6,0.016,0.024
naranjilla lulo pulp,7.1,0.3,0.5
coconut meat dried,6.7,18.3,1.9
waxgourd raw,4.0,0.3,0.5
surinam cherry pitanga,0.5,0.059,0.045
passion fruit,4.2,0.1,0.4
sapodilla,33.9,1.9,0.7
pummelo,12.0,0.06,1.0
coconut meat,60.5,133.0,13.2
soursop,37.9,0.7,2.3
papaya,15.7,0.4,0.7
acerola cherry,0.4,0.052,0.079
ohelo berries,9.6,0.3,0.5
loganberries,19.1,0.5,2.2
casaba melon,11.2,0.2,1.9
durian,9.5,1.9,0.5
coriander leaves raw,0.6,0.086,0.3
garden cress raw,0.5,0.062,0.2
pasilla peppers dried,3.6,1.1,0.9
parsley dried,0.3,0.096,0.1
ancho pepper dried,8.7,1.4,2.0
coriander seeds,1.0,0.3,0.2
dill weed dried,55.8,4.4,20.0
borage,2.7,0.6,1.6
epazote,0.094,0.06,0.059
chives dried,0.1,0.055,0.013
thyme fresh,0.2,0.068,0.091
butterbur,0.5,0.2,0.1
wasabi root,30.6,0.8,6.2
rosemary dried,0.8,0.2,0.081
ginger root,0.4,0.028,0.068
white pepper,1.6,0.0,0.2
cloves ground,1.4,0.3,0.1
paprika,3.7,0.9,1.0
mace ground,2.7,1.7,0.4
bay leaf,0.4,0.042,0.086
eppaw,31.7,1.8,4.6
tarragon dried,0.3,0.047,0.1
ginger ground,1.3,0.043,0.2
savory ground,1.0,0.029,0.074
black pepper,1.5,0.006,0.2
spearmint fresh,0.5,0.089,0.2
poultry seasoning,2.9,0.3,0.4
nutmeg ground,1.1,0.8,0.1
curry powder,3.7,0.9,0.8
peppermint,0.2,0.004,0.038
salt,0.0,0.0,0.0
coriander leaves dried,0.3,0.098,0.1
sage ground,0.4,0.046,0.058
garlic powder,2.3,0.029,0.5
dill weed fresh,0.6,0.063,0.3
cardamom,1.4,0.1,0.2
saffron,0.5,0.092,0.071
allspice ground,1.4,0.2,0.1
parsley fresh,0.2,0.078,0.1
oregano dried,68.9,4.3,9.0
marjoram dried,1.0,0.1,0.2
chives raw,0.1,0.088,0.03
fireweed leaves,4.4,0.6,1.1
rosemary fresh,0.1,0.1,0.005
garlic,0.9,0.026,0.2
cinnamon ground,2.1,0.044,0.1
chervil dried,0.9,0.002,0.4
cayenne pepper,0.2,0.094,0.039
turmeric ground,1.4,0.2,0.2
mustard,0.3,0.2,0.2
chili powder,1.3,0.4,0.4
thyme dried,63.9,7.4,9.1
spearmint dried,0.3,0.018,0.094
basil dried,0.3,0.027,0.2
dandelion greens cooked,6.7,0.6,2.1
basil fresh,0.2,0.089,0.2
dock,4.3,0.9,2.7
garden cress cooked,5.1,0.8,2.6
onion powder,1.9,0.024,0.2
dandelion greens raw,5.1,0.4,1.5
yokan,8.5,0.022,0.5
fava beans cooked,33.4,0.7,12.9
french beans raw,118.0,3.7,34.6
chickpeas canned,57.0,7.0,17.8
yellow beans cooked,44.7,1.9,16.2
mung beans cooked,38.7,0.8,14.2
white beans canned,55.5,0.8,19.0
pink beans cooked,47.2,0.8,15.3
pink beans raw,134.8,2.4,44.0
navy beans raw,126.4,3.1,46.4
snap beans cooked,9.9,0.4,2.4
black eyed cowpeas raw,27.3,0.5,4.3
edamame cooked,13.8,8.1,18.5
black eyed cowpeas cooked,33.5,0.6,5.2
hyacinth beans cooked,40.2,1.1,15.8
cowpeas canned,32.7,1.3,11.4
pinto beans cooked,44.8,1.1,15.4
winged beans cooked,25.7,10.0,18.3
pinto beans raw,120.7,2.4,41.3
black turtle beans raw,116.4,1.7,39.1
fava beans raw,87.4,2.3,39.2
lima beans canned,35.9,0.4,11.9
hyacinth beans raw,127.6,3.5,50.2
white beans raw,121.7,1.7,47.2
snap beans canned,15.4,0.4,3.5
navy beans canned,53.6,1.1,19.7
mung beans raw,129.6,2.4,49.4
adzuki beans raw,123.9,1.0,39.1
black turtle beans cooked,45.0,0.6,15.1
pink lentils raw,113.6,4.2,47.9
yellow beans raw,119.0,5.1,43.1
white beans cooked,44.9,0.6,17.4
lentils raw,115.4,2.0,49.5
cranberry beans cooked,43.3,0.8,16.5
chickpeas raw,121.3,12.1,38.6
lentils cooked,39.9,0.8,17.9
baked beans canned,53.7,0.9,12.1
cranberry beans canned,39.3,0.7,14.4
black beans cooked,40.8,0.9,15.2
lima beans cooked,39.3,0.7,14.7
mungo beans raw,122.1,3.4,52.2
pigeon peas raw,128.7,3.1,44.5
fava beans canned,31.8,0.6,14.0
yellow snap beans raw,7.1,0.1,1.8
snap beans raw,7.0,0.2,1.8
yellow snap beans canned,8.4,0.2,1.9
pigeon peas cooked,39.1,0.6,11.4
catjang cowpeas raw,99.6,3.5,39.8
navy beans cooked,47.4,1.1,15.0
mothbeans raw,120.6,3.2,45.0
cowpeas cooked,14.5,0.4,5.4
mothbeans cooked,37.1,1.0,13.8
french beans cooked,42.5,1.3,12.5
lima beans raw,112.8,1.2,38.2
winged beans raw,75.9,29.7,54.0
adzuki beans cooked,57.0,0.2,17.3
black beans raw,121.0,2.8,41.9
catjang cowpeas cooked,34.7,1.2,13.9
baby lima beans cooked,35.0,0.5,12.0
cowpeas raw,8.9,0.3,3.1
shellie beans canned,15.2,0.5,4.3
yardlong beans raw,103.4,2.2,40.6
pinto beans canned,36.4,1.3,11.0
chickpeas cooked,45.0,4.2,14.5
cranberry beans raw,117.1,2.4,44.9
mungo beans cooked,33.0,1.0,13.6
tamarinds,1.3,0.013,0.057
yellow snap beans cooked,9.9,0.4,2.4
yardlong beans cooked,36.1,0.8,14.2
bacon beef steak,0.2,12.5,8.2
lamb foreshank raw,0.0,60.7,85.8
bacon,0.2,10.2,3.3
lamb rib cooked,0.0,76.0,53.9
lamb shank raw,0.0,61.2,84.3
scrapple,4.0,3.9,2.3
chicken nuggets,3.0,4.1,3.2
ground lamb cooked,0.0,61.5,77.5
lamb meat cooked,0.0,45.0,63.8
meat extender,33.7,2.6,33.5
lamb leg raw,0.0,77.4,81.2
lamb loin cooked,0.0,14.8,16.1
chicken patty,7.7,11.7,8.9
lamb shank roasted,0.0,33.5,71.0
barbecue loaf,1.5,2.0,3.6
lamb sirloin cooked,0.0,54.2,64.5
poultry salad,1.0,1.8,1.5
ground lamb raw,0.0,6.6,4.7
lamb loin raw,0.0,7.5,4.6
lamb sirloin raw,0.0,100.3,76.8
sausage patty mcdonalds,0.4,11.2,4.3
lamb foreshank cooked,0.0,19.9,42.0
ham salad,4.8,7.0,3.9
lamb rib raw,0.0,156.0,65.9
lamb shoulder raw,0.0,97.3,75.2
lamb meat raw,0.0,84.6,79.6
lamb shoulder cooked,0.0,53.5,62.5
mutton cooked,0.027,3.1,9.5
lamb leg cooked,0.0,43.7,67.7
beef stick,1.1,9.9,4.3
veal sirloin cooked,0.0,26.9,64.1
veal rib cooked,0.0,22.2,57.4
veal meat cooked,0.0,23.8,62.9
beef rib roasted,0.0,19.1,15.4
veal sirloin raw,0.0,35.4,86.5
beef top loin filet grilled,0.8,19.0,37.0
beef under blade steak cooked,0.0,46.7,140.8
mock tender steak raw,0.0,8.3,42.2
ground beef cooked,0.0,24.8,35.5
ground beef raw,0.0,136.1,65.1
beef diced asda,10.5,0.7,0.0
veal rib raw,0.0,40.9,85.5
ground veal raw,0.0,1.9,5.5
t bone steak cooked,0.0,74.1,89.3
veal leg round raw,0.0,14.0,95.2
beef top sirloin steak raw,0.0,77.3,123.4
beef plate steak grilled,0.0,35.6,47.1
ground veal cooked,0.0,22.6,72.9
veal leg round cooked,0.0,17.2,98.4
porterhouse steak raw,0.0,91.1,81.6
veal shank raw,0.0,15.8,86.9
veal breast cooked,0.0,47.5,76.3
corned beef canned,0.0,3.1,5.7
rib eye steak grilled,0.0,47.7,62.4
veal shoulder raw,0.0,0.0,0.0
t bone steak raw,0.0,76.3,85.7
sirloin steak,0.0,14.1,49.5
mock tender steak cooked,0.0,4.9,21.9
beef round steak cooked,0.0,12.1,64.8
chuck blade roast raw,0.0,88.0,77.8
beef shoulder steak raw,0.0,17.3,48.2
beef top blade cooked,0.0,10.0,21.9
corned beef cooked,0.006,4.0,3.8
beef round steak raw,0.0,36.0,100.1
beef shoulder steak grilled,0.0,5.8,24.0
chuck eye steak raw,0.0,62.8,72.4
beef bottom round steak cooked,0.0,35.1,155.8
porterhouse steak cooked,0.0,16.4,20.4
beef under blade steak raw,0.0,80.8,126.8
beef plate steak raw,0.9,46.8,47.8
beef meat canned,0.0,7.9,9.2
beef breakfast strips raw,0.2,8.8,2.8
beef brisket cooked,0.0,43.6,46.0
corned beef raw,0.6,67.6,66.6
beef mince meat asda,6.8,3.1,0.0
pastrami beef fat free,0.1,0.1,1.9
rib eye steak raw,0.4,54.5,62.8
beef tenderloin steak cooked,0.0,24.0,37.0
chuck blade roast cooked,0.0,62.0,66.1
cured beef dried,0.06,0.019,0.9
beef flank steak cooked,0.0,17.5,51.8
chuck eye steak grilled,0.0,60.5,76.9
veal meat raw,0.0,30.7,87.8
veal loin cooked,0.0,4.9,8.5
veal loin raw,0.0,2.6,5.3
veal shoulder cooked,0.0,19.4,61.2
beef tenderloin steak raw,0.0,29.8,32.2
veal shank cooked,0.0,12.0,61.2
beef brisket raw,0.0,86.5,83.6
pastrami beef,0.3,4.1,15.5
beef flank steak raw,0.0,2.3,6.0
beef top sirloin steak cooked,0.0,25.2,47.7
veal breast raw,0.0,66.9,79.2
beef rib raw,0.0,123.8,73.8
beef jerky,2.2,5.1,6.6
beef breakfast strips cooked,0.2,3.9,3.5
pork olive loaf,2.6,4.6,3.3
beef luncheon meat jellied,0.0,0.9,5.3
turkey pastrami,0.5,1.8,4.6
pork salami,0.2,3.4,2.3
canadian style bacon raw,0.5,2.0,5.9
honey loaf,2.6,3.6,9.9
pork beef salami,0.076,3.1,2.1
beef pork bologna,1.6,7.4,4.6
pork beef salami cooked,0.3,3.2,2.7
pork breakfast strips raw,0.2,8.4,2.7
pickle pimiento loaf,3.2,6.1,4.3
luxury loaf,1.4,1.3,5.2
mortadella,0.5,3.8,2.5
pork bologna,0.2,5.6,4.3
turkey salami cooked,0.081,0.5,1.0
pepperoni beef,0.0,0.9,0.5
peppered loaf,1.3,1.8,4.9
luncheon meat beef,0.0,0.3,1.8
lebanon bologna,0.3,6.0,10.8
chicken pork bologna,1.2,8.6,2.9
turkey roll,0.6,1.9,4.9
beef salami cooked,0.5,5.8,3.3
yachtwurst cooked,0.8,12.7,8.3
italian salami,0.1,3.7,2.2
turkey ham,0.3,1.6,5.5
turkey bologna,1.3,4.5,3.2
sliced turkey breast,0.4,0.6,2.4
luncheon meat pork beef,0.7,9.0,3.5
beef bologna,1.3,7.8,3.3
turkey bacon cooked,2.5,22.9,24.3
ground emu cooked,0.0,5.1,31.0
ostrich leg raw,0.0,1.5,19.0
ostrich strip raw,0.0,2.4,20.1
emu fillet cooked,0.0,9.1,123.2
ostrich tenderloin raw,0.0,2.7,18.8
emu drums cooked,0.0,8.4,134.7
green turtle raw,0.0,0.1,5.6
ground bison cooked,0.0,21.6,63.6
goat meat raw,0.0,10.5,93.4
ground emu raw,0.0,4.7,26.6
ground ostrich raw,0.0,9.5,22.0
ostrich tip cooked,0.0,2.2,24.2
caribou cooked,0.0,6.4,38.0
ground ostrich cooked,0.0,6.6,24.3
ostrich leg cooked,0.0,1.6,24.7
ostrich top loin cooked,0.0,3.3,23.9
ostrich strip cooked,0.0,3.6,25.0
ostrich tip raw,0.0,2.0,18.6
ostrich round raw,0.0,2.0,18.7
ground bison raw,0.099,6.1,17.2
ostrich fan raw,0.0,2.3,18.5
ostrich top loin raw,0.0,2.5,18.4
veal brain cooked,0.0,32.6,38.9
veal tongue cooked,0.0,25.8,65.9
beef heart cooked,0.057,1.3,8.1
turkey liver cooked,0.0,4.3,14.3
veal thymus cooked,0.0,0.9,6.4
beef brain cooked,0.0,55.6,44.1
beef pancreas cooked,0.0,38.2,60.2
beef tripe cooked,1.7,3.4,10.0
chicken gizzard cooked,0.0,3.9,44.1
pork pancreas cooked,0.0,26.5,69.8
beef tongue cooked,0.0,6.3,5.5
lamb heart cooked,3.7,15.1,47.7
beef spleen cooked,0.0,12.9,77.3
veal kidneys cooked,0.0,10.4,48.4
chicken heart cooked,0.1,11.5,38.3
lamb tongue cooked,0.0,51.7,55.0
veal heart cooked,0.3,13.4,57.7
chicken liver cooked,0.5,2.8,11.3
lamb pancreas cooked,0.0,34.9,52.7
veal spleen cooked,0.0,10.0,83.1
lamb liver cooked,8.5,29.6,102.7
turkey gizzard cooked,0.0,2.1,11.9
lamp spleen cooked,0.0,14.1,78.1
turkey heart cooked,0.0,1.5,5.0
beef liver cooked,3.5,3.6,19.8
lamb lungs cooked,0.0,11.8,75.7
pork brain cooked,0.0,36.3,46.4
goose liver,5.9,4.0,15.4
pork kidneys cooked,0.0,6.6,35.6
lamb brain cooked,0.0,35.3,43.5
pork heart cooked,0.6,7.3,34.2
lamb kidneys cooked,2.5,9.2,60.3
beef lungs cooked,0.0,11.2,61.8
veal pancreas cooked,0.0,35.0,69.8
pork liver cooked,13.3,15.6,92.1
beef kidneys cooked,0.0,1.3,7.7
turkey giblets cooked,0.0,6.3,25.1
duck liver raw,1.6,2.0,8.2
veal liver cooked,3.0,5.0,22.7
pork lungs cooked,0.0,9.3,49.8
veal lungs cooked,0.0,7.9,56.2
beef thymus cooked,0.0,95.2,83.2
ham,1.0,2.5,4.6
pork meat cooked,0.0,14.1,14.1
bacon roasted,0.1,3.3,3.0
pork top loin roasts raw,0.0,182.8,468.4
pork blade roll raw,0.0,6.2,4.7
pork backribs raw,0.0,174.9,204.2
pork spareribs cooked,0.0,53.6,51.4
pork stomach cooked,0.029,2.1,6.1
honey smoked ham cooked,4.0,1.3,9.9
boston butt steak raw,0.0,56.1,79.0
pork sirloin chops cooked,0.0,4.5,23.3
pork country style ribs raw,0.0,15.1,24.8
ham patties,1.1,18.3,8.3
pork feet cooked,0.0,4.5,6.2
ground pork cooked,0.0,65.0,80.4
pork centre loin chops cooked,0.0,17.4,40.2
pork leg cap steak cooked,0.0,8.6,53.5
pork blade chops raw,0.0,15.4,55.8
pork tenderloin raw,0.0,17.8,104.3
pork sirloin chops raw,0.0,23.3,205.5
pork leg cap steak raw,0.0,7.8,50.0
pork carcass raw,0.0,159.1,63.1
pork splean cooked,0.0,9.6,84.3
chopped ham,1.2,2.9,4.6
pork centre loin chops raw,0.0,18.0,41.2
pork blade chops cooked,1.1,14.6,32.4
boston butt steak cooked,0.0,32.7,46.4
pork meat raw,0.0,18.6,2.6
pork top loin chops raw,0.0,12.8,39.9
pork blade steak braised,0.087,44.7,68.2
pork boston steaks cooked,0.0,28.1,43.2
bacon cooked,0.068,3.1,3.5
pickled pork hocks,0.0,3.0,5.4
pork boston roast cooked,0.0,49.4,60.5
canadian style bacon grilled,0.3,2.0,5.7
ham steak,0.0,2.4,11.1
pork backfat,0.0,402.3,13.2
bacon baked,0.1,3.5,2.9
pork arm picnic raw,0.0,343.4,513.6
salt pork raw,0.0,22.8,1.4
pork arm picnic cooked,0.0,322.7,560.3
pork top loin chops cooked,0.0,11.2,39.4
ground pork raw,0.0,26.5,21.1
pork shoulder raw,0.0,81.6,77.9
pork chitterlings cooked,0.0,5.8,3.5
pork breakfast strips cooked,0.1,4.1,3.3
pork blade roll roasted,1.4,88.3,65.0
pork tail cooked,0.0,98.5,46.8
pork centre rib roasts raw,0.0,9.7,44.0
pork centre rib roasts roasted,0.0,114.9,211.3
minced ham,0.4,4.3,3.4
